time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/n_updates,train/loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/value_loss,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss
2048,-41.9670668,386,5,400.0,1,,,,,,,,,,
4096,-573.4824495999999,295,13,400.0,2,10,55.573272705078125,-0.6862858580425382,0.009275587,0.142333984375,91.02422728538514,0.0003,0.006872057914733887,0.2,-0.01755469916097354
6144,-606.6586036,312,19,400.0,3,20,4930.58935546875,-0.6825859969481826,0.00019162893,0.0,10024.3982711792,0.0003,0.02077317237854004,0.2,-0.0007327950035687536
8192,-536.90521,329,24,400.0,4,30,1658.1988525390625,-0.6837725501507521,3.906354e-05,0.0,4279.869969558716,0.0003,0.06398111581802368,0.2,-4.0255148633150384e-05
10240,-606.5882122799999,341,30,400.0,5,40,662.006591796875,-0.6855322504416108,0.00067666214,0.0,1156.217104625702,0.0003,0.12734413146972656,0.2,-0.0009450672390812542
12288,-546.5673145,338,36,400.0,6,50,1635.591064453125,-0.6890917088836431,0.00049334974,0.0,6140.355714035034,0.0003,0.10463649034500122,0.2,-0.0006697160431940574
14336,-467.9506928,353,40,400.0,7,60,565.6022338867188,-0.687421677261591,0.002534685,0.0,783.8493355512619,0.0003,0.14995867013931274,0.2,-0.0006820341615821235
16384,-565.3324499999999,364,44,400.0,8,70,47.44312286376953,-0.6703498777002096,0.0064039584,0.053662109375,76.51809148788452,0.0003,0.3497362732887268,0.2,-0.007801974467292893
18432,-516.6834724130433,366,50,400.0,9,80,4840.166015625,-0.665334701910615,0.0017873019,0.0,8960.212753295898,0.0003,0.12878739833831787,0.2,-0.0014152945717796684
20480,-463.3543910980392,369,55,400.0,10,90,248.12799072265625,-0.6721557645127177,0.00017456447,0.0,1277.9077413082123,0.0003,0.3708609342575073,0.2,-0.0002632140880450606
22528,-436.3839233035714,373,60,400.0,11,100,56.252952575683594,-0.65482711289078,0.004667338,0.03671875,84.71803315877915,0.0003,0.13984179496765137,0.2,-0.00311745859507937
24576,-416.5215478032787,374,65,400.0,12,110,527.193359375,-0.6558210020884871,0.0019071199,0.0140625,876.4848546981812,0.0003,0.44468772411346436,0.2,-0.0013404194614849985
26624,-394.0598049848485,379,70,400.0,13,120,384.6344909667969,-0.6667322114109993,0.0026545627,0.015478515625,1154.4280749797822,0.0003,0.4354575276374817,0.2,-0.0013944197344244458
28672,-366.48604076056336,384,74,400.0,14,130,426.33331298828125,-0.6679374301806092,0.0011782835,0.013720703125,613.0902361631394,0.0003,0.547459751367569,0.2,-0.0010164604100282304
30720,-338.1367874210526,387,79,400.0,15,140,34.36958312988281,-0.6172330973669886,0.012945573,0.10732421875,63.3187818646431,0.0003,0.3742074966430664,0.2,-0.011047435872751522
32768,-406.53701441975306,390,83,400.0,16,150,39.69215393066406,-0.5590606018900871,0.011167317,0.093408203125,79.71406420469285,0.0003,0.21066570281982422,0.2,-0.009287447767565026
34816,-369.981450183908,395,87,400.0,17,160,6210.16943359375,-0.5900690075010061,0.005246886,0.05625,16641.906747436522,0.0003,0.21633005142211914,0.2,-0.004028737457701936
36864,-348.3405667173913,400,91,400.0,18,170,42.418701171875,-0.5675069520249962,6.2044885e-05,0.0,113.55518598556519,0.0003,0.26519107818603516,0.2,-3.994243816123344e-05
38912,-330.32707985567015,404,96,400.0,19,180,58.49195098876953,-0.6002475185319781,0.005085787,0.05146484375,342.72959821224214,0.0003,0.7000404894351959,0.2,-0.005751921327464516
40960,-319.761701,407,100,400.0,20,190,67.4540023803711,-0.5972109753638506,0.0018636349,0.001025390625,169.60514293909074,0.0003,0.8518919497728348,0.2,-0.0006227535690413788
43008,-361.1960490199999,410,104,400.0,21,200,59.506690979003906,-0.6109695300459862,0.008486767,0.081640625,117.14992983341217,0.0003,0.8761897683143616,0.2,-0.007467975771578495
45056,-340.11016592,413,108,400.0,22,210,2963.3583984375,-0.6312900146469473,0.0042645605,0.03212890625,7079.664753723145,0.0003,0.4542989134788513,0.2,-0.0071193586598383264
47104,-306.50297509000006,415,113,400.0,23,220,2819.97412109375,-0.6323297463357449,0.0031663263,0.0029296875,4421.406406402588,0.0003,0.5643522441387177,0.2,-0.0006562842652783729
49152,-277.90550228000006,417,117,400.0,24,230,85.65633392333984,-0.6237148089334369,0.0047547137,0.061865234375,182.834468460083,0.0003,0.7516165524721146,0.2,-0.0044917145860381424
51200,-227.59046629999997,418,122,400.0,25,240,40.05120086669922,-0.5859529411420226,0.0015038138,0.0095703125,71.28010649681092,0.0003,0.06920862197875977,0.2,-8.016024294192903e-05
53248,-273.18821311,419,127,400.0,26,250,31.281965255737305,-0.5433287531137466,0.0071537276,0.049755859375,57.59166922569275,0.0003,0.40179967880249023,0.2,-0.0015104311205504928
55296,-227.97625218000002,420,131,400.0,27,260,1184.2635498046875,-0.5877302223816514,0.0038215325,0.01240234375,5011.381365203857,0.0003,0.5435046553611755,0.2,-0.002153762736998033
57344,-195.9067781,421,136,400.0,28,270,99.48390197753906,-0.5351862788200379,0.0047684144,0.0236328125,163.49005546569825,0.0003,0.6104935109615326,0.2,-0.001537533916416578
59392,-190.34926099999996,422,140,400.0,29,280,213.01881408691406,-0.5506131535395979,0.0027122616,0.014453125,318.7070430755615,0.0003,0.8621014505624771,0.2,-0.004171506564307492
61440,-183.25630171999998,424,144,400.0,30,290,34.83861541748047,-0.46579895159229634,0.008072954,0.065673828125,69.57184983491898,0.0003,0.2561856508255005,0.2,-0.005095182143850252
